Block,Trial,Same,Condition,Response,TooSlow,ReactionTime
9, 13, 0, 2, 0, 0, 0.460
9, 14, 0, 4, 1, 0, 0.423
9, 15, 0, 3, 1, 0, 0.403
9, 16, 1, 2, 0, 0, 0.379
9, 17, 0, 3, 1, 0, 0.387
9, 18, 0, 1, 0, 1, 0.800
9, 19, 0, 4, 1, 0, 0.446
9, 20, 1, 1, 0, 0, 0.431
9, 21, 1, 2, 1, 0, 0.469
9, 22, 0, 4, 0, 0, 0.568
9, 23, 0, 3, 0, 1, 0.800
10, 0, 0, 2, 0, 0, 0.418
10, 1, 1, 3, 1, 0, 0.326
10, 2, 0, 1, 1, 0, 0.370
10, 3, 1, 4, 1, 0, 0.579
10, 4, 0, 1, 0, 0, 0.446
10, 5, 1, 3, 1, 0, 0.665
10, 6, 0, 2, 0, 0, 0.480
10, 7, 1, 4, 1, 0, 0.452
10, 8, 0, 4, 0, 0, 0.516
10, 9, 1, 3, 0, 0, 0.506
10, 10, 0, 1, 0, 0, 0.333
10, 11, 0, 2, 0, 0, 0.393
10, 12, 0, 4, 1, 0, 0.458
10, 13, 1, 2, 1, 0, 0.402
10, 14, 1, 3, 1, 0, 0.439
10, 15, 1, 1, 1, 0, 0.280
10, 16, 1, 2, 1, 0, 0.513
10, 17, 1, 4, 1, 0, 0.543
10, 18, 1, 3, 0, 0, 0.426
10, 19, 0, 1, 0, 0, 0.366
10, 20, 1, 4, 1, 0, 0.437
10, 21, 0, 2, 1, 0, 0.470
10, 22, 1, 3, 1, 0, 0.470
10, 23, 1, 1, 1, 0, 0.460
11, 0, 0, 2, 1, 0, 0.439
11, 1, 0, 3, 1, 0, 0.473
11, 2, 1, 1, 1, 0, 0.559
11, 3, 1, 4, 1, 0, 0.618
11, 4, 1, 3, 1, 0, 0.599
11, 5, 1, 2, 0, 0, 0.678
11, 6, 1, 4, 0, 0, 0.726
11, 7, 1, 1, 1, 0, 0.412
11, 8, 1, 1, 0, 0, 0.362
11, 9, 1, 4, 0, 1, 0.800
11, 10, 1, 3, 1, 0, 0.371
11, 11, 0, 2, 0, 0, 0.381
11, 12, 0, 2, 0, 0, 0.662
11, 13, 0, 1, 0, 0, 0.349
11, 14, 1, 4, 1, 0, 0.503
11, 15, 0, 3, 1, 0, 0.474
11, 16, 1, 3, 1, 0, 0.393
11, 17, 0, 1, 0, 0, 0.442
11, 18, 1, 2, 0, 0, 0.399
11, 19, 0, 4, 1, 0, 0.636
11, 20, 1, 2, 0, 0, 0.454
11, 21, 0, 1, 0, 0, 0.471
11, 22, 1, 4, 0, 0, 0.704
11, 23, 0, 3, 0, 0, 0.488
